,Age
0,Adult
1,Adult
2,Adult
3,Adult
4,Adult
5,Adult
6,Adult
7,Adult
8,Adult
9,Adult
10,Adult
11,Adult
12,Adult
13,Adult
14,Adult
15,Adult
16,Adult
17,Adult
18,Adult
19,Adult
20,Adult
21,Adult
22,Adult
23,Adult
24,Adult
25,Adult
26,Adult
27,Adult
28,Adult
29,Adult
30,Adult
31,Adult
32,Adult
33,Adult
34,Adult
35,Adult
36,Adult
37,Adult
38,Adult
39,Adult
40,Adult
41,Adult
42,Adult
43,Adult
44,Adult
45,Adult
46,Adult
47,Adult
48,Adult
49,Adult
50,Adult
51,Adult
52,Adult
53,Adult
54,Adult
55,Adult
56,Adult
57,Adult
58,Adult
59,Adult
60,Adult
61,Adult
62,Adult
63,Adult
64,Adult
65,Adult
66,Adult
67,Adult
68,Adult
69,Adult
70,Adult
71,Adult
72,Adult
73,Adult
74,Adult
75,Adult
76,Adult
77,Adult
78,Adult
79,Adult
80,Adult
81,Adult
82,Adult
83,Adult
84,Adult
85,Adult
86,Adult
87,Adult
88,Adult
89,Adult
90,Adult
91,Adult
92,Adult
93,Adult
94,Adult
95,Adult
96,Adult
97,Adult
98,Adult
99,Adult
100,Adult
101,Adult
102,Adult
103,Adult
104,Adult
105,Adult
106,Adult
107,Adult
108,Adult
109,Adult
110,Adult
111,Adult
112,Adult
113,Adult
114,Adult
115,Adult
116,Adult
117,Adult
118,Adult
119,Adult
120,Adult
121,Adult
122,Adult
123,Adult
124,Adult
125,Adult
126,Adult
127,Adult
128,Adult
129,Adult
130,Adult
131,Adult
132,Adult
133,Adult
134,Adult
135,Adult
136,Adult
137,Adult
138,Adult
139,Adult
140,Adult
141,Adult
142,Adult
143,Adult
144,Adult
145,Adult
146,Adult
147,Adult
148,Adult
149,Adult
150,Adult
151,Adult
152,Adult
153,Adult
154,Adult
155,Adult
156,Adult
157,Adult
158,Adult
159,Adult
160,Adult
161,Adult
162,Adult
163,Adult
164,Adult
165,Adult
166,Adult
167,Adult
168,Adult
169,Adult
170,Adult
171,Adult
172,Adult
173,Adult
174,Adult
175,Adult
176,Adult
177,Adult
178,Adult
179,Adult
180,Adult
181,Adult
182,Adult
183,Adult
184,Adult
185,Adult
186,Adult
187,Adult
188,Adult
189,Adult
190,Adult
191,Adult
192,Adult
193,Adult
194,Adult
195,Adult
196,Adult
197,Adult
198,Adult
199,Adult
200,Adult
201,Adult
202,Adult
203,Adult
204,Adult
205,Adult
206,Adult
207,Adult
208,Adult
209,Adult
210,Adult
211,Adult
212,Adult
213,Adult
214,Adult
215,Adult
216,Adult
217,Adult
218,Adult
219,Adult
220,Adult
221,Adult
222,Adult
223,Adult
224,Adult
225,Adult
226,Adult
227,Adult
228,Adult
229,Adult
230,Adult
231,Adult
232,Adult
233,Adult
234,Adult
235,Adult
236,Adult
237,Adult
238,Adult
239,Adult
240,Adult
241,Adult
242,Adult
243,Adult
244,Adult
245,Adult
246,Adult
247,Adult
248,Adult
249,Adult
250,Adult
251,Adult
252,Adult
253,Adult
254,Adult
255,Adult
256,Adult
257,Adult
258,Adult
259,Adult
260,Adult
261,Adult
262,Adult
263,Adult
264,Adult
265,Adult
266,Adult
267,Adult
268,Adult
269,Adult
270,Adult
271,Adult
272,Adult
273,Adult
274,Adult
275,Adult
276,Adult
277,Adult
278,Adult
279,Adult
280,Adult
281,Adult
282,Adult
283,Adult
284,Adult
285,Adult
286,Adult
287,Adult
288,Adult
289,Adult
290,Adult
291,Adult
292,Adult
293,Adult
294,Adult
295,Adult
296,Adult
297,Adult
298,Adult
299,Adult
300,Adult
301,Adult
302,Adult
303,Adult
304,Adult
305,Adult
306,Adult
307,Adult
308,Adult
309,Adult
310,Adult
311,Adult
312,Adult
313,Adult
314,Adult
315,Adult
316,Adult
317,Adult
318,Adult
319,Adult
320,Adult
321,Adult
322,Adult
323,Adult
324,Adult
325,Adult
326,Adult
327,Adult
328,Adult
329,Adult
330,Adult
331,Adult
332,Adult
333,Adult
334,Adult
335,Adult
336,Adult
337,Adult
338,Adult
339,Adult
340,Adult
341,Adult
