,State,X,Y
0,Abia,-42.0,-160.0
1,Adamawa,162.0,13.0
2,Akwaibom,-31.0,-198.0
3,Anambra,-73.0,-138.0
4,Bauchi,48.0,48.0
5,Bayelsa,-112.0,-200.0
6,Banue,4.0,-87.0
7,Borno,200.0,118.0
8,Crossriver,-1.0,-159.0
9,Delta,-122.0,-163.0
10,Ebonyi,-26.0,-134.0
11,Edo,-123.0,-126.0
12,Ekiti,-142.0,-69.0
13,Enugu,-50.0,-124.0
14,Gombe,111.0,38.0
15,Imo,-67.0,-166.0
16,Jigawa,40.0,133.0
17,Kaduna,-33.0,43.0
18,Kano,-3.0,106.0
19,Kastina,-45.0,145.0
20,Kebbi,-197.0,96.0
21,Kogi,-72.0,-78.0
22,Kwara,-159.0,-29.0
23,Lagos,-224.0,-141.0
24,Nasarawa,-23.0,-38.0
25,Niger,-126.0,25.0
26,Ogun,-233.0,-101.0
27,Ondo,-155.0,-100.0
28,Osun,-176.0,-78.0
29,Oyo,-218.0,-47.0
30,Platue,44.0,-14.0
31,Rivers,-80.0,-192.0
32,Sokoto,-132.0,173.0
33,Taraba,93.0,-73.0
34,Yobe,122.0,132.0
35,Zamfara,-105.0,115.0
